,player_id,team_id,name,position,date_of_birth,nationality,age,team
0,193091,10,Raul Paula,Midfield,1976-06-26,Germany,48,VfB Stuttgart
1,3271,19,Makoto Hasebe,Defence,1984-01-18,Japan,41,Eintracht Frankfurt
2,3739,87,Radamel Falcao,Offence,1986-02-10,Colombia,39,Rayo Vallecano de Madrid
3,2175,471,Gianluca Pegolo,Goalkeeper,1981-03-25,Italy,44,US Sassuolo Calcio
4,8425,522,Dante,Defence,1983-10-18,Brazil,41,OGC Nice
